seed,ori_res,runtime,num_nodes,total_delta_ang,total_len,smoothness,work
0,15,21.623448371887207,6215,10.616000000000005,13.393716404759147,0.7926104808541307,6.520225123532178
0,30,21.952345848083496,9895,12.833600000000004,15.036267162397813,0.8535097083200168,6.6239368143257185
0,36,7.352045774459839,3443,14.128000000000007,17.64834024391996,0.8005285372298538,7.884218729245178
0,45,22.47609519958496,11219,15.497600000000013,19.443593819137416,0.79705429686288,11.251151485523582
0,60,8.547991514205933,5083,10.808000000000012,12.14000775992888,0.8902794968282071,5.896853512537428
0,90,5.063594341278076,3223,11.273600000000005,14.941183631208416,0.7545319218520452,6.178877047435553
0,120,14.93693995475769,8062,8.87680000000001,10.546415483446296,0.8416888196689271,3.854901374699219
0,180,19.016016960144043,11722,14.246400000000008,17.99469265262914,0.7917001015251304,8.872999421312347
1,15,27.36079740524292,8159,18.049600000000012,20.533943800301316,0.8790128275180704,9.730992367717812
1,30,21.4662766456604,9483,15.59200000000001,17.17258758421392,0.9079586826118806,9.19308280579347
1,36,4.553467273712158,2709,11.155200000000008,14.568634526577954,0.7656997627093517,6.023715256974922
1,45,9.587759256362915,5226,14.340800000000007,17.25632155029482,0.8310461739022821,9.13383763687676
1,60,19.790811777114868,10049,13.854400000000014,15.470348222077138,0.8955454525728731,8.39945990783787
1,90,13.224989891052246,7411,9.878400000000003,11.653575798976707,0.8476711500745907,5.34221765451082
1,120,20.46951150894165,10958,10.328000000000005,13.813740680230104,0.7476613495996194,7.208205700177883
1,180,11.57886028289795,6892,18.32160000000001,20.613207594674243,0.8888281901713198,8.13731997090376
2,15,24.935284852981567,7175,17.20320000000001,17.5674803019549,0.9792639413453985,8.780744053421108
2,30,4.659425258636475,2224,8.209600000000005,12.599422785486507,0.651585405123224,5.233433338006263
2,36,15.841054201126099,7995,10.556800000000006,13.064343746889804,0.8080620201464951,5.960828310215552
2,45,11.152093648910522,6354,15.174400000000011,16.765780568589605,0.9050816296873754,8.628214680333697
2,60,8.562152624130249,4596,8.803200000000007,15.298773682918608,0.5754186696564417,5.882296225459967
2,90,6.197769403457642,3788,11.675199999999993,16.17748367257137,0.7216944387831516,8.243199227575673
2,120,31.669983625411987,14932,17.204800000000013,19.33875731138292,0.8896538553629376,8.58283095044657
2,180,58.530176401138306,28992,10.059200000000004,13.775486456750112,0.7302246662273698,4.236709485438905
3,15,21.25238275527954,6359,15.265600000000006,18.51075273028969,0.8246882351261954,9.749845246655184
3,30,5.690345287322998,2670,10.393600000000003,14.149524215353154,0.7345547342660661,6.033518727344365
3,36,12.729578971862793,6151,7.4864000000000015,13.01916714857871,0.5750291024427998,6.534342073539436
3,45,12.477671384811401,6422,11.894400000000008,15.035255619432878,0.7911006171805052,7.720409435467536
3,60,2.057199716567993,1550,9.88480000000001,13.067774065943638,0.7564256888830911,6.606053470548375
3,90,10.831673383712769,6569,12.700800000000008,14.619299991933964,0.8687693670016713,5.245764312163968
3,120,8.68277096748352,5544,7.761600000000002,11.001495347164855,0.7055040933140246,5.168743911887015
3,180,7.608705282211304,5882,14.665600000000007,13.952553561970921,1.0511050851632324,7.366888363490991
4,15,6.048781156539917,2057,10.286400000000004,13.433819115035826,0.765709282811984,6.9625770121017325
4,30,7.885945558547974,3875,14.035200000000007,17.015893512559387,0.824828857188173,8.03392901883121
4,36,10.031949281692505,4734,13.45920000000002,15.533467709189043,0.8664646073869288,7.821425617820255
4,45,11.85133409500122,6272,13.128000000000004,17.776227777119928,0.7385143892506411,8.724171244302681
4,60,4.545760154724121,2825,11.569600000000008,16.531442334141218,0.6998542393428148,7.202701095707088
4,90,2.0333876609802246,1538,9.473600000000008,13.09338462961133,0.723540953541913,4.388646997796936
4,120,6.168237924575806,3941,8.832000000000004,13.87344011539896,0.6366121110939773,6.952302499032022
4,180,2.4584107398986816,2169,9.659200000000006,12.982369317559904,0.7440244352727671,4.9485776613465005
5,15,10.29677939414978,3088,13.771200000000007,15.7336535408155,0.8752703219424155,8.244173350619914
